PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
ALLEN MALL ONE,1.698,0.006874494,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PLAYGROUND ONE TWENTY FIVE CXXV,1.691,0.006846154,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
STAR SPANGLED PLAYGROUND,1.687,0.00682996,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PATTERSON PLAYGROUND,1.683,0.006813765,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,2,0,0,0,3
MOUNT EDEN MALLS,1.682,0.006809717,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MIDLAND PLAYGROUND,1.681,0.006805668,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ADAM CLAYTON POWELL JR. MALLS,1.679,0.006797571,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BANNEKER PLAYGROUND,1.67,0.006761134,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JAMES J WALKER PARK,1.67,0.006761134,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
WHITESTONE PLAYGROUND,1.662,0.006728745,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
THURSBY BASIN PARK,1.657,0.006708502,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
EQUITY PARK,1.657,0.006708502,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BELL MALLS,1.652,0.006688259,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LEIF ERICSON FIELDS,1.65,0.006680162,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,1,0,0,1
NEHEMIAH PARK,1.648,0.006672065,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MARBLE HILL PLAYGROUND,1.646,0.006663968,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WAGNER HOUSES POOL,1.64,0.006639676,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HARLEM LANE PLAYGROUND,1.635,0.006619433,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CROWLEY PLAYGROUND,1.633,0.006611336,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BURNS PLAYGROUND,1.623,0.00657085,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
100% PLAYGROUND,1.616,0.00654251,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARK BROOKLYN,1.607,0.006506073,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
IDA COURT,1.6,0.006477733,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
JENNIFER'S PLAYGROUND,1.6,0.006477733,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
REAL GOOD PARK,1.598,0.006469636,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ALLERTON PLAYGROUND,1.597,0.006465587,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
OCEAN HILL PLAYGROUND,1.595,0.00645749,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BELLEVUE SOUTH PARK,1.593,0.006449393,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,2,0,0,0,2
MAZZEI PLAYGROUND,1.59,0.006437247,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,0,0,0,0,1
DAG HAMMARSKJOLD PLAZA,1.59,0.006437247,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
KOLBERT PLAYGROUND,1.581,0.00640081,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
OLMSTED-BEIL HOUSE PARK,1.58,0.006396761,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
POOR RICHARD'S PLAYGROUND,1.58,0.006396761,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,1,0,0,0,0,0,0,1
JOAN OF ARC PARK,1.578,0.006388664,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
TAYLOR PLAYGROUND,1.578,0.006388664,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HARMONY PARK,1.56,0.006315789,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BRIARWOOD PLAYGROUND,1.558,0.006307692,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CLINTONVILLE PLAYGROUND,1.553,0.006287449,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FLATBUSH MALLS,1.55,0.006275304,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WASHINGTON PARK BROOKLYN,1.549,0.006271255,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,2,0,2
JOHN HANCOCK PLAYGROUND,1.547,0.006263158,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
FRANK D. O'CONNOR PLAYGROUND,1.537,0.006222672,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,1,0,1,0,3
OLD TOWN PLAYGROUND,1.534,0.006210526,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
HUGUENOT PONDS PARK,1.53,0.006194332,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
REIFF PLAYGROUND,1.529,0.006190283,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RUSSELL SAGE PLAYGROUND,1.526,0.006178138,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
ROGER MORRIS PARK,1.524,0.00617004,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BROAD CHANNEL PARK,1.52,0.006153846,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JOHN ALLEN PAYNE PARK,1.51,0.00611336,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL PLAYGROUND,1.51,0.00611336,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BULOVA PARK,1.502,0.006080972,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MAPLE GROVE PARK,1.5,0.006072874,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GOLCONDA PLAYGROUND,1.5,0.006072874,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DECATUR PLAYGROUND,1.5,0.006072874,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
DRY DOCK PLAYGROUND,1.5,0.006072874,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
UNNAMED PARK ON RIVERSIDE DRIVE,1.494,0.006048583,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
MARX BROTHERS PLAYGROUND,1.486,0.006016194,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BREVOORT PLAYGROUND,1.485,0.006012146,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PLAYGROUND SIXTY TWO LXII,1.48,0.005991903,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
TALL OAK PLAYGROUND,1.48,0.005991903,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FRONTERA PARK,1.47,0.005951417,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
COLDEN PLAYGROUND,1.466,0.005935223,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LUTHER GULICK PLAYGROUND,1.451,0.005874494,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PULASKI PARK,1.45,0.005870445,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BOOKER T. WASHINGTON PLAYGROUND,1.441,0.005834008,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
DUNBAR PLAYGROUND,1.44,0.00582996,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PLAYGROUND TWENTY ONE,1.439,0.005825911,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WOODS PLAYGROUND,1.438,0.005821862,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
PROSPECT PLAYGROUND,1.438,0.005821862,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,3,0,0,0,3
GLENWOOD PLAYGROUND,1.43,0.005789474,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ALMEDA PLAYGROUND,1.43,0.005789474,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GAETA PARK,1.43,0.005789474,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SHELTERING ARMS PLAYGROUND,1.43,0.005789474,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
MALL FORTY TWO XLII,1.429,0.005785425,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
NORELLI-HARGREAVES PLAYGROUND,1.427,0.005777328,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
