Date,Calories,Km,FlightsClimbed,Steps (count),StepLengthcm
2-May-21,182,2.741,12,4374,63
3-May-21,738,11.086,96,15094,73
4-May-21,239,3.583,9,4771,75
5-May-21,684,10.265,11,12321,83
6-May-21,250,3.759,86,4755,79
7-May-21,78,1.174,9,1904,62
8-May-21,163,2.458,15,4002,61
9-May-21,525,7.895,11,9497,83
10-May-21,504,7.593,88,10073,75
11-May-21,240,3.594,9,4944,73
12-May-21,496,7.444,16,8733,85
13-May-21,67,1.003,10,1486,68
14-May-21,479,7.188,17,10838,66
15-May-21,120,2.584,4,3984,65
16-May-21,173,2.601,64,3393,77
17-May-21,557,8.367,19,10354,81
18-May-21,384,5.761,13,7954,72
19-May-21,481,7.227,100,9545,76
20-May-21,460,6.910,13,8119,85
21-May-21,64,1.071,6,1663,64
22-May-21,479,7.079,39,10554,67
23-May-21,204,3.059,7,4830,63
24-May-21,268,4.037,96,5197,78
25-May-21,553,8.302,12,9902,84
26-May-21,359,5.390,7,7458,72
27-May-21,164,2.451,10,3758,65
28-May-21,149,2.226,14,3490,64
29-May-21,171,2.570,17,4012,64
30-May-21,366,5.490,54,7581,72
31-May-21,107,1.603,8,2386,67
1-Jun-21,313,4.703,99,6124,77
2-Jun-21,391,5.866,7,8451,69
3-Jun-21,272,4.091,13,5431,75
4-Jun-21,397,5.963,68,7753,77
5-Jun-21,166,2.531,9,3791,67
6-Jun-21,190,2.816,9,4729,60
7-Jun-21,296,4.449,92,5739,78
8-Jun-21,291,4.368,9,6025,73
9-Jun-21,101,1.521,3,2180,70
10-Jun-21,174,2.611,12,4209,62
11-Jun-21,376,5.652,11,8831,64
12-Jun-21,230,3.449,12,5005,69
13-Jun-21,127,1.912,6,3046,63
14-Jun-21,297,4.453,6,6768,66
15-Jun-21,309,4.632,14,6898,67
16-Jun-21,252,3.810,7,5853,65
17-Jun-21,336,5.046,8,6659,76
18-Jun-21,120,1.886,8,2947,64
19-Jun-21,297,4.459,61,6360,70
20-Jun-21,404,6.061,15,8655,70
21-Jun-21,164,2.468,8,3557,69
22-Jun-21,560,8.408,11,9796,86
23-Jun-21,788,11.832,203,15619,76
24-Jun-21,133,2.039,7,3252,63
25-Jun-21,187,2.825,6,4700,60
26-Jun-21,133,1.977,4,3143,63
27-Jun-21,248,3.718,55,5402,69
28-Jun-21,463,6.954,16,7957,87
29-Jun-21,360,5.413,107,7398,73
30-Jun-21,378,5.669,7,7850,72
1-Jul-21,128,1.928,11,2956,65
2-Jul-21,214,3.228,16,5062,64
3-Jul-21,231,3.674,9,5813,63
4-Jul-21,396,5.955,10,9293,64
5-Jul-21,199,2.987,43,4375,68
6-Jul-21,156,2.349,12,3740,63
7-Jul-21,557,8.358,12,9451,88
8-Jul-21,149,2.231,9,3567,63
9-Jul-21,255,3.904,6,5759,68
10-Jul-21,97,1.697,4,2647,64
11-Jul-21,168,2.522,6,3920,64
12-Jul-21,637,9.637,17,12309,78
13-Jul-21,423,6.345,26,9708,65
14-Jul-21,402,3.056,16,4716,65
15-Jul-21,764,11.883,13,18249,65
16-Jul-21,770,11.450,20,15500,74
17-Jul-21,885,13.432,80,19794,68
18-Jul-21,231,3.075,11,4983,62
19-Jul-21,1301,20.256,304,30664,66
20-Jul-21,413,5.584,69,8118,69
21-Jul-21,431,6.522,35,10233,64
22-Jul-21,18,4.315,43,6564,66
23-Jul-21,745,11.188,240,16911,66
28-Jul-21,707,5.413,20,7219,75
29-Jul-21,337,5.143,27,8356,62
30-Jul-21,382,5.541,2,8791,63
31-Jul-21,396,5.960,5,8605,69
1-Aug-21,256,3.843,0,6241,62
2-Aug-21,470,7.063,8,10965,64
3-Aug-21,271,4.063,7,6362,64
4-Aug-21,277,2.087,1,3020,69
5-Aug-21,255,3.738,8,5820,64
6-Aug-21,176,2.643,11,4233,62
7-Aug-21,114,1.712,14,2672,64
8-Aug-21,330,4.956,4,6584,75
9-Aug-21,219,3.294,77,4247,78
10-Aug-21,187,2.807,6,3895,72
11-Aug-21,365,5.477,9,6669,82
12-Aug-21,59,1.030,6,1599,64
13-Aug-21,202,3.035,3,4989,61
14-Aug-21,141,3.620,5,5851,62
15-Aug-21,258,3.880,89,4920,79
16-Aug-21,255,3.834,93,4829,79
17-Aug-21,287,4.303,8,6392,67
18-Aug-21,249,6.022,7,8195,73
19-Aug-21,305,4.586,75,6213,74
20-Aug-21,107,1.601,2,2550,63
21-Aug-21,734,11.027,194,16610,66
22-Aug-21,402,6.039,3,9125,66
23-Aug-21,128,1.924,9,2742,70
24-Aug-21,406,6.094,12,8369,73
25-Aug-21,531,7.966,19,8699,92
26-Aug-21,102,1.531,5,2382,64
27-Aug-21,248,3.719,9,5463,68
28-Aug-21,412,6.192,59,9069,68
29-Aug-21,416,6.245,7,8630,72
30-Aug-21,493,7.403,12,8676,85
31-Aug-21,142,2.131,17,3253,66
1-Sep-21,239,3.606,63,4909,73
2-Sep-21,166,2.487,10,3561,70
3-Sep-21,199,2.994,9,4752,63
4-Sep-21,147,2.209,10,3428,64
5-Sep-21,94,1.408,9,2315,61
6-Sep-21,77,1.155,8,1784,65
7-Sep-21,252,3.777,92,4738,80
8-Sep-21,317,4.764,9,6745,71
9-Sep-21,21,0.320,3,487,66
